d,eps_acc,eps_p,LD,N_star_basic,N_star_pathA,tightening_ratio
20000,0.1,8,10,76253227.07418951,65114466.62682744,1.171064296835887
20000,0.1,8,50,381266055.3716505,325454494.67510825,1.1714880624163981
20000,0.1,16,1,2331927.305074745,2112446.8711958737,1.103898676398248
20000,0.1,16,10,23319093.050844524,21038680.51544137,1.1083914237743875
20000,0.1,16,50,116595385.2524304,105155274.49130075,1.1087925528840312
20000,0.5,1,1,15369886.215030482,12142745.800486475,1.2657669416430275
20000,0.5,1,10,153698826.14993846,105007899.3250867,1.4636882285790034
20000,0.5,1,50,768494114.7459471,524091669.08279943,1.4663352998739145
20000,0.5,2,1,3997736.5188412117,3427432.1808472597,1.1663940547622953
20000,0.5,2,10,39977329.18825887,29639687.159087524,1.3487770290450527
20000,0.5,2,50,199886629.94067395,147930889.11233312,1.3512163087784026
20000,0.5,4,1,1075084.997369918,994372.322730429,1.0811694702220407
20000,0.5,4,10,10750813.973691143,8599093.601468535,1.2502264159393661
20000,0.5,4,50,53754053.86938133,42917835.782114625,1.2524875238882045
20000,0.5,8,1,305016.8282980946,301732.86368635367,1.010883682246673
20000,0.5,8,10,3050132.2829907774,2609292.2032212643,1.1689500620993234
20000,0.5,8,50,15250645.41496865,13022893.325204415,1.1710642968604112
20000,0.5,16,1,93280.29220368685,97493.44297022154,0.9567852910085292
20000,0.5,16,10,932766.9220294672,843072.344118936,1.1063901319219145
20000,0.5,16,50,4663818.610111221,4207736.103124349,1.1083914237511756
20000,1.0,1,1,3842472.5537719,3690215.1174803814,1.041259772518486
20000,1.0,1,10,38424707.538016036,26311214.05299325,1.4603927990789431
20000,1.0,1,50,192123529.6898547,131082156.49236995,1.465672634864211
20000,1.0,2,1,999435.1296932574,1041606.9884085453,0.9595126960700201
20000,1.0,2,10,9994333.296971628,7426643.457550828,1.3457402868600317
20000,1.0,2,50,49971658.484975845,36999443.9458465,1.3506056620233502
20000,1.0,4,1,268772.249342129,302193.3080701637,0.8894050336803786
20000,1.0,4,10,2687704.4934142106,2154625.414406819,1.2474114876038216
20000,1.0,4,50,13438514.467084434,10734310.959507639,1.2519214803612166
20000,1.0,8,1,76255.2070745424,91698.24364944178,0.8315885238332654
20000,1.0,8,10,762534.0707418759,653796.0314944248,1.1663179860527777
20000,1.0,8,50,3812662.353743153,3257196.3120158585,1.1705350210787633
20000,1.0,16,1,23321.073050593925,29629.313763356287,0.7870946062691466
20000,1.0,16,10,233192.73050552094,211244.68711781775,1.1038986763982475
20000,1.0,16,50,1165955.652523377,1052410.6268810881,1.1078904210410623
100000,0.1,1,1,1921235296.8744068,1315560622.6432576,1.460392827062741
100000,0.1,1,10,,,
100000,0.1,1,50,,,
100000,0.1,2,1,499716584.8539443,371332092.87390167,1.3457403613741512
100000,0.1,2,10,4997165668.478493,3698272147.8177457,1.3512163163620043
100000,0.1,2,50,,,
100000,0.1,4,1,134385144.67197004,107731190.72142863,1.2474116713279741
100000,0.1,4,10,1343851266.7296946,1072945814.5430007,1.2524875427209532
100000,0.1,4,50,6719256253.66536,5362788587.082053,1.252940731217856
100000,0.1,8,1,38126623.536952466,32689721.574752793,1.1663183930694212
100000,0.1,8,10,381266055.3716505,325572253.13459104,1.1710643388705355
100000,0.1,8,50,1906330196.8379061,1627272393.3801496,1.171488070831277
100000,0.1,16,1,11659556.52533144,10562154.355940249,1.1038994633489712
100000,0.1,16,10,116595385.2524304,105193322.57845977,1.1083915061763188
100000,0.1,16,50,582976846.2661608,525776292.4588987,1.1087925694400411
100000,0.5,1,1,76849415.07572532,60713713.00185881,1.265767011702488
100000,0.5,1,10,768494114.7459471,525039480.62274325,1.463688242709758
100000,0.5,1,50,3842470557.764012,2620458329.367345,1.4663353027604513
100000,0.5,2,1,19988666.593863457,17137144.90430679,1.166394210090389
100000,0.5,2,10,199886629.94067395,148198419.7984442,1.3487770666686445
100000,0.5,2,50,999433133.7042669,739654429.5698906,1.351216316362004
100000,0.5,4,1,5375408.986919537,4971845.613696033,1.0811697314397295
100000,0.5,4,10,53754053.86938133,42995452.00675646,1.2502265090952926
100000,0.5,4,50,268770253.34261465,214589162.91043985,1.2524875426947242
100000,0.5,8,1,1525068.1414776638,1508648.3184329409,1.010883797664507
100000,0.5,8,10,15250645.41496865,13046445.016111683,1.1689502692982567
100000,0.5,8,50,76253211.07338698,65114450.6261128,1.1710643388705366
100000,0.5,16,1,466385.46100918023,487451.2148515253,0.956783872517865
100000,0.5,16,10,4663818.610111221,4215345.720531665,1.1063905357501713
100000,0.5,16,50,23319077.050685987,21038664.515431736,1.10839150619953
100000,1.0,1,1,19212354.76890707,18451067.587598298,1.0412597903993623
100000,1.0,1,10,192123529.6898547,131556062.26597875,1.460392827062741
